ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-09-18,88.68343821326951,75.79340632342333,104.09911885500873,88.68343821326951,88.68343821326951,1.071919255594554,1.071919255594554,1.071919255594554,0.3184670229271725,0.3184670229271725,0.3184670229271725,0.7534522326673816,0.7534522326673816,0.7534522326673816,0.0,0.0,0.0,89.75535746886406
2010-09-19,88.74382281343719,74.6592291610217,103.20870634770888,88.74382281343719,88.74382281343719,0.49214861502104124,0.49214861502104124,0.49214861502104124,-0.2295033420543545,-0.2295033420543545,-0.2295033420543545,0.7216519570753958,0.7216519570753958,0.7216519570753958,0.0,0.0,0.0,89.23597142845823
2010-09-20,88.80420741360493,75.36829925144613,103.60317274294492,88.80420741360493,88.80420741360493,0.7288406986322453,0.7288406986322453,0.7288406986322453,0.033505197481050124,0.033505197481050124,0.033505197481050124,0.6953355011511951,0.6953355011511951,0.6953355011511951,0.0,0.0,0.0,89.53304811223717
2010-09-21,88.86459201377254,74.48122149138617,102.37476547380375,88.86459201377254,88.86459201377254,0.6234529072853758,0.6234529072853758,0.6234529072853758,-0.05134976023503807,-0.05134976023503807,-0.05134976023503807,0.674802667520414,0.674802667520414,0.674802667520414,0.0,0.0,0.0,89.4880449210579
2010-09-22,88.92497661394022,76.17208501521763,103.69402417103493,88.92497661394022,88.92497661394022,0.572142491924847,0.572142491924847,0.572142491924847,-0.08806876121887992,-0.08806876121887992,-0.08806876121887992,0.6602112531437269,0.6602112531437269,0.6602112531437269,0.0,0.0,0.0,89.49711910586507
2010-09-23,88.98536121410795,75.37359993612775,103.03725035743656,88.98536121410795,88.98536121410795,0.6577293493765827,0.6577293493765827,0.6577293493765827,0.006157461249624352,0.006157461249624352,0.006157461249624352,0.6515718881269583,0.6515718881269583,0.6515718881269583,0.0,0.0,0.0,89.64309056348453
2010-09-24,89.04574581427558,76.55092142392367,103.56535818307897,89.04574581427558,89.04574581427558,0.6595386750604106,0.6595386750604106,0.6595386750604106,0.010792181851546298,0.010792181851546298,0.010792181851546298,0.6487464932088645,0.6487464932088645,0.6487464932088645,0.0,0.0,0.0,89.70528448933598
2010-09-25,89.10613041444319,76.74888416217952,103.70769218391908,89.10613041444319,89.10613041444319,0.9699174195870887,0.9699174195870887,0.9699174195870887,0.31846702292689716,0.31846702292689716,0.31846702292689716,0.6514503966601914,0.6514503966601914,0.6514503966601914,0.0,0.0,0.0,90.07604783403028
2010-09-26,89.16651501461092,76.2600867995717,103.81954189172986,89.16651501461092,89.16651501461092,0.42975471446626917,0.42975471446626917,0.42975471446626917,-0.2295033420547506,-0.2295033420547506,-0.2295033420547506,0.6592580565210198,0.6592580565210198,0.6592580565210198,0.0,0.0,0.0,89.59626972907719
2010-09-27,89.2268996147786,75.60462220261907,104.66720737923944,89.2268996147786,89.2268996147786,0.705117438407945,0.705117438407945,0.705117438407945,0.03350519748094989,0.03350519748094989,0.03350519748094989,0.6716122409269951,0.6716122409269951,0.6716122409269951,0.0,0.0,0.0,89.93201705318654
2010-09-28,89.28728421494623,75.58976077487688,103.09453992492033,89.28728421494623,89.28728421494623,0.6364866700058552,0.6364866700058552,0.6364866700058552,-0.05134976023591369,-0.05134976023591369,-0.05134976023591369,0.687836430241769,0.687836430241769,0.687836430241769,0.0,0.0,0.0,89.92377088495208
2010-09-29,89.34766881511396,75.04063047054916,103.90403582844156,89.34766881511396,89.34766881511396,0.6190813609864996,0.6190813609864996,0.6190813609864996,-0.08806876121924063,-0.08806876121924063,-0.08806876121924063,0.7071501222057401,0.7071501222057401,0.7071501222057401,0.0,0.0,0.0,89.96675017610046
2010-09-30,89.40805341528164,75.37994257856876,103.49618240684373,89.40805341528164,89.40805341528164,0.7348441087814941,0.7348441087814941,0.7348441087814941,0.006157461251021701,0.006157461251021701,0.006157461251021701,0.7286866475304723,0.7286866475304723,0.7286866475304723,0.0,0.0,0.0,90.14289752406313
2010-10-01,89.46843801544925,77.18857263384895,104.57141153549236,89.46843801544925,89.46843801544925,0.7623052221248192,0.7623052221248192,0.7623052221248192,0.010792181851530785,0.010792181851530785,0.010792181851530785,0.7515130402732884,0.7515130402732884,0.7515130402732884,0.0,0.0,0.0,90.23074323757407
2010-10-02,89.52882261561699,76.62679048732576,104.69110752257478,89.52882261561699,89.52882261561699,1.0931184794818187,1.0931184794818187,1.0931184794818187,0.3184670229269952,0.3184670229269952,0.3184670229269952,0.7746514565548234,0.7746514565548234,0.7746514565548234,0.0,0.0,0.0,90.6219410950988
2010-10-03,89.58920721578461,75.94307917651986,104.7192161251122,89.58920721578461,89.58920721578461,0.5675982560009833,0.5675982560009833,0.5675982560009833,-0.22950334205479397,-0.22950334205479397,-0.22950334205479397,0.7971015980557774,0.7971015980557774,0.7971015980557774,0.0,0.0,0.0,90.15680547178559
2010-10-04,89.64959181595228,75.32977908830297,104.64166986673338,89.64959181595228,89.64959181595228,0.8513687716423761,0.8513687716423761,0.8513687716423761,0.033505197481428675,0.033505197481428675,0.033505197481428675,0.8178635741609475,0.8178635741609475,0.8178635741609475,0.0,0.0,0.0,90.50096058759465
2010-10-05,89.70997641612003,76.83181944458005,104.14749963355861,89.70997641612003,89.70997641612003,0.7846108689012133,0.7846108689012133,0.7846108689012133,-0.05134976023565194,-0.05134976023565194,-0.05134976023565194,0.8359606291368652,0.8359606291368652,0.8359606291368652,0.0,0.0,0.0,90.49458728502124
2010-10-06,89.77036101628764,76.8650823860132,104.32305636740841,89.77036101628764,89.77036101628764,0.762392407215974,0.762392407215974,0.762392407215974,-0.08806876121840193,-0.08806876121840193,-0.08806876121840193,0.8504611684343759,0.8504611684343759,0.8504611684343759,0.0,0.0,0.0,90.5327534235036
2010-10-07,89.83074561645532,77.48866019649331,103.54814441953293,89.83074561645532,89.83074561645532,0.8666570020381456,0.8666570020381456,0.8666570020381456,0.006157461250329153,0.006157461250329153,0.006157461250329153,0.8604995407878164,0.8604995407878164,0.8604995407878164,0.0,0.0,0.0,90.69740261849346
2010-10-08,89.89113021662305,76.09609054032558,104.77073104379866,89.89113021662305,89.89113021662305,0.8760872513721198,0.8760872513721198,0.8760872513721198,0.010792181851129528,0.010792181851129528,0.010792181851129528,0.8652950695209903,0.8652950695209903,0.8652950695209903,0.0,0.0,0.0,90.76721746799518
2010-10-09,89.95151481679068,77.28951570865954,105.6247740107067,89.95151481679068,89.95151481679068,1.1826358991842085,1.1826358991842085,1.1826358991842085,0.31846702292708107,0.31846702292708107,0.31846702292708107,0.8641688762571272,0.8641688762571272,0.8641688762571272,0.0,0.0,0.0,91.13415071597488
2010-10-10,90.01189941695829,77.49085727625922,105.45293981628791,90.01189941695829,90.01189941695829,0.6270547595670225,0.6270547595670225,0.6270547595670225,-0.22950334205484305,-0.22950334205484305,-0.22950334205484305,0.8565581016218656,0.8565581016218656,0.8565581016218656,0.0,0.0,0.0,90.6389541765253
2010-10-11,90.07228401712602,76.67276105406863,104.54809433229511,90.07228401712602,90.07228401712602,0.8755323962355257,0.8755323962355257,0.8755323962355257,0.03350519748028341,0.03350519748028341,0.03350519748028341,0.8420271987552422,0.8420271987552422,0.8420271987552422,0.0,0.0,0.0,90.94781641336155
2010-10-12,90.13266861729363,77.08502916364341,105.81711540129264,90.13266861729363,90.13266861729363,0.7689262942650954,0.7689262942650954,0.7689262942650954,-0.051349760235390125,-0.051349760235390125,-0.051349760235390125,0.8202760545004857,0.8202760545004857,0.8202760545004857,0.0,0.0,0.0,90.90159491155873
2010-10-13,90.19305321843063,77.28612505056954,104.45609454652373,90.19305321843063,90.19305321843063,0.703076016576615,0.703076016576615,0.703076016576615,-0.08806876121996199,-0.08806876121996199,-0.08806876121996199,0.791144777796577,0.791144777796577,0.791144777796577,0.0,0.0,0.0,90.89612923500725
2010-10-14,90.2534378195677,77.70760987428537,105.5620995478915,90.2534378195677,90.2534378195677,0.7607725439706352,0.7607725439706352,0.7607725439706352,0.006157461249321231,0.006157461249321231,0.006157461249321231,0.7546150827213141,0.7546150827213141,0.7546150827213141,0.0,0.0,0.0,91.01421036353833
2010-10-15,90.31382242070475,77.68865948449175,105.51658667242921,90.31382242070475,90.31382242070475,0.7216004642476209,0.7216004642476209,0.7216004642476209,0.010792181851797526,0.010792181851797526,0.010792181851797526,0.7108082823958234,0.7108082823958234,0.7108082823958234,0.0,0.0,0.0,91.03542288495237
2010-10-16,90.37420702184176,76.58379115164456,104.56607657760371,90.37420702184176,90.37420702184176,0.9784470200824995,0.9784470200824995,0.9784470200824995,0.3184670229269924,0.3184670229269924,0.3184670229269924,0.659979997155507,0.659979997155507,0.659979997155507,0.0,0.0,0.0,91.35265404192425
2010-10-17,90.43459162297876,76.91456668880171,104.99868021997639,90.43459162297876,90.43459162297876,0.3730084216152913,0.3730084216152913,0.3730084216152913,-0.22950334205523917,-0.22950334205523917,-0.22950334205523917,0.6025117636705305,0.6025117636705305,0.6025117636705305,0.0,0.0,0.0,90.80760004459405
2010-10-18,90.49497622411582,76.86782204871379,104.55036058973207,90.49497622411582,90.49497622411582,0.5724050063288191,0.5724050063288191,0.5724050063288191,0.0335051974809952,0.0335051974809952,0.0335051974809952,0.5388998088478238,0.5388998088478238,0.5388998088478238,0.0,0.0,0.0,91.06738123044464
2010-10-19,90.55536082525288,77.80054072625279,105.39950242816705,90.55536082525288,90.55536082525288,0.41839156111542763,0.41839156111542763,0.41839156111542763,-0.0513497602351495,-0.0513497602351495,-0.0513497602351495,0.46974132135057717,0.46974132135057717,0.46974132135057717,0.0,0.0,0.0,90.9737523863683
2010-10-20,90.61574542638986,76.19726754584526,104.69197225830871,90.61574542638986,90.61574542638986,0.30764985144735607,0.30764985144735607,0.30764985144735607,-0.08806876121888192,-0.08806876121888192,-0.08806876121888192,0.395718612666238,0.395718612666238,0.395718612666238,0.0,0.0,0.0,90.92339527783722
2010-10-21,90.67613002752694,76.11344628919339,104.55075932241078,90.67613002752694,90.67613002752694,0.32373906860252055,0.32373906860252055,0.32373906860252055,0.006157461249673623,0.006157461249673623,0.006157461249673623,0.31758160735284696,0.31758160735284696,0.31758160735284696,0.0,0.0,0.0,90.99986909612946
2010-10-22,90.73651462866393,76.53091628338703,104.0708128653392,90.73651462866393,90.73651462866393,0.2469213191393468,0.2469213191393468,0.2469213191393468,0.010792181851781997,0.010792181851781997,0.010792181851781997,0.23612913728756482,0.23612913728756482,0.23612913728756482,0.0,0.0,0.0,90.98343594780327
2010-10-23,90.79689922980099,77.35741307572003,104.03711742956261,90.79689922980099,90.79689922980099,0.47065655955632174,0.47065655955632174,0.47065655955632174,0.31846702292690376,0.31846702292690376,0.31846702292690376,0.15218953662941803,0.15218953662941803,0.15218953662941803,0.0,0.0,0.0,91.2675557893573
2010-10-24,90.85728383093804,76.83049890595986,105.31626195442992,90.85728383093804,90.85728383093804,-0.1629022996337546,-0.1629022996337546,-0.1629022996337546,-0.22950334205494125,-0.22950334205494125,-0.22950334205494125,0.06660104242118667,0.06660104242118667,0.06660104242118667,0.0,0.0,0.0,90.69438153130429
2010-10-25,90.91766843207505,77.2640343235649,104.35695860454499,90.91766843207505,90.91766843207505,0.013697697749240659,0.013697697749240659,0.013697697749240659,0.03350519747984991,0.03350519747984991,0.03350519747984991,-0.019807499730609256,-0.019807499730609256,-0.019807499730609256,0.0,0.0,0.0,90.93136612982428
2010-10-26,90.97805303321205,76.24720488696668,104.18387774822759,90.97805303321205,90.97805303321205,-0.15758490447545975,-0.15758490447545975,-0.15758490447545975,-0.05134976023600397,-0.05134976023600397,-0.05134976023600397,-0.10623514423945582,-0.10623514423945582,-0.10623514423945582,0.0,0.0,0.0,90.8204681287366
2010-10-27,91.03843763434917,76.93832976885379,104.21754589948432,91.03843763434917,91.03843763434917,-0.27999488030482483,-0.27999488030482483,-0.27999488030482483,-0.08806876121924259,-0.08806876121924259,-0.08806876121924259,-0.19192611908558224,-0.19192611908558224,-0.19192611908558224,0.0,0.0,0.0,90.75844275404434
2010-10-28,91.09882223548617,76.59862218594732,104.8599067378316,91.09882223548617,91.09882223548617,-0.27002799659768284,-0.27002799659768284,-0.27002799659768284,0.006157461249710659,0.006157461249710659,0.006157461249710659,-0.27618545784739346,-0.27618545784739346,-0.27618545784739346,0.0,0.0,0.0,90.82879423888849
2010-10-29,91.15920683662317,77.01563562848398,104.55668463716354,91.15920683662317,91.15920683662317,-0.34760045479368235,-0.34760045479368235,-0.34760045479368235,0.010792181852449996,0.010792181852449996,0.010792181852449996,-0.3583926366461323,-0.3583926366461323,-0.3583926366461323,0.0,0.0,0.0,90.81160638182949
2010-10-30,91.21959143776029,76.30279953022615,104.11920722656836,91.21959143776029,91.21959143776029,-0.11954590083078348,-0.11954590083078348,-0.11954590083078348,0.3184670229271762,0.3184670229271762,0.3184670229271762,-0.4380129237579597,-0.4380129237579597,-0.4380129237579597,0.0,0.0,0.0,91.1000455369295
2010-10-31,91.27997603889729,77.04062112727048,104.13501625833118,91.27997603889729,91.27997603889729,-0.7441095595956638,-0.7441095595956638,-0.7441095595956638,-0.22950334205498463,-0.22950334205498463,-0.22950334205498463,-0.5146062175406791,-0.5146062175406791,-0.5146062175406791,0.0,0.0,0.0,90.53586647930163
2010-11-01,91.34036064003428,77.43573322112962,104.15345359322025,91.34036064003428,91.34036064003428,-0.5543280232554743,-0.5543280232554743,-0.5543280232554743,0.033505197480561716,0.033505197480561716,0.033505197480561716,-0.5878332207360359,-0.5878332207360359,-0.5878332207360359,0.0,0.0,0.0,90.7860326167788
2010-11-02,91.4007452411714,77.23808210832411,104.72521821153717,91.4007452411714,91.4007452411714,-0.7088086342907252,-0.7088086342907252,-0.7088086342907252,-0.05134976023574215,-0.05134976023574215,-0.05134976023574215,-0.657458874054983,-0.657458874054983,-0.657458874054983,0.0,0.0,0.0,90.69193660688069
2010-11-03,91.46112984230841,76.60349765064595,105.16364916751192,91.46112984230841,91.46112984230841,-0.8114218082864308,-0.8114218082864308,-0.8114218082864308,-0.08806876121960329,-0.08806876121960329,-0.08806876121960329,-0.7233530470668276,-0.7233530470668276,-0.7233530470668276,0.0,0.0,0.0,90.64970803402198
2010-11-04,91.5215144434454,76.80434971691923,104.74111601850836,91.5215144434454,91.5215144434454,-0.7793310964361507,-0.7793310964361507,-0.7793310964361507,0.0061574612507926205,0.0061574612507926205,0.0061574612507926205,-0.7854885576869434,-0.7854885576869434,-0.7854885576869434,0.0,0.0,0.0,90.74218334700925
2010-11-05,91.58189904458253,76.36672464772845,104.40690825981119,91.58189904458253,91.58189904458253,-0.8331444791155795,-0.8331444791155795,-0.8331444791155795,0.010792181851365226,0.010792181851365226,0.010792181851365226,-0.8439366609669448,-0.8439366609669448,-0.8439366609669448,0.0,0.0,0.0,90.74875456546695
2010-11-06,91.64228364571953,77.09888353919442,105.09526635859008,91.64228364571953,91.64228364571953,-0.5803931886287975,-0.5803931886287975,-0.5803931886287975,0.3184670229269008,0.3184670229269008,0.3184670229269008,-0.8988602115556983,-0.8988602115556983,-0.8988602115556983,0.0,0.0,0.0,91.06189045709073
2010-11-07,91.70266824685652,76.4586098715118,103.65667900691271,91.70266824685652,91.70266824685652,-1.180008102518279,-1.180008102518279,-1.180008102518279,-0.22950334205433404,-0.22950334205433404,-0.22950334205433404,-0.9505047604639447,-0.9505047604639447,-0.9505047604639447,0.0,0.0,0.0,90.52266014433825
2010-11-08,91.76305284799365,77.38144530829413,105.73144216840257,91.76305284799365,91.76305284799365,-0.9656826966974954,-0.9656826966974954,-0.9656826966974954,0.03350519748127352,0.03350519748127352,0.03350519748127352,-0.999187894178769,-0.999187894178769,-0.999187894178769,0.0,0.0,0.0,90.79737015129615
2010-11-09,91.82343744913064,77.08083377680087,104.60054196408615,91.82343744913064,91.82343744913064,-1.096636921858706,-1.096636921858706,-1.096636921858706,-0.05134976023659663,-0.05134976023659663,-0.05134976023659663,-1.0452871616221093,-1.0452871616221093,-1.0452871616221093,0.0,0.0,0.0,90.72680052727193
2010-11-10,91.88382205026764,77.63587957552517,103.54838518028025,91.88382205026764,91.88382205026764,-1.1772957223101168,-1.1772957223101168,-1.1772957223101168,-0.08806876121972257,-0.08806876121972257,-0.08806876121972257,-1.089226961090394,-1.089226961090394,-1.089226961090394,0.0,0.0,0.0,90.70652632795752
2010-11-11,91.9442066514047,76.9043442463378,104.59817900125246,91.9442066514047,91.9442066514047,-1.125307313408729,-1.125307313408729,-1.125307313408729,0.006157461250100071,0.006157461250100071,0.006157461250100071,-1.1314647746588289,-1.1314647746588289,-1.1314647746588289,0.0,0.0,0.0,90.81889933799597
2010-11-12,92.00459125254176,76.03760882301633,104.91509922834537,92.00459125254176,92.00459125254176,-1.1616849595862393,-1.1616849595862393,-1.1616849595862393,0.01079218185203321,0.01079218185203321,0.01079218185203321,-1.1724771414382724,-1.1724771414382724,-1.1724771414382724,0.0,0.0,0.0,90.84290629295552
2010-11-13,92.06497585367876,76.8619086313972,105.27730357567336,92.06497585367876,92.06497585367876,-0.8942787307928748,-0.8942787307928748,-0.8942787307928748,0.31846702292681217,0.31846702292681217,0.31846702292681217,-1.212745753719687,-1.212745753719687,-1.212745753719687,0.0,0.0,0.0,91.17069712288588
2010-11-14,92.12536045481575,77.17743907104222,104.7422444532778,92.12536045481575,92.12536045481575,-1.482247384011658,-1.482247384011658,-1.482247384011658,-0.22950334205473014,-0.22950334205473014,-0.22950334205473014,-1.2527440419569278,-1.2527440419569278,-1.2527440419569278,0.0,0.0,0.0,90.64311307080409
2010-11-15,92.18574505595282,76.39867725450114,104.04053513460934,92.18574505595282,92.18574505595282,-1.2594193890582819,-1.2594193890582819,-1.2594193890582819,0.03350519748012824,0.03350519748012824,0.03350519748012824,-1.2929245865384102,-1.2929245865384102,-1.2929245865384102,0.0,0.0,0.0,90.92632566689454
2010-11-16,92.24612965708988,77.53559002143702,104.90976130321768,92.24612965708988,92.24612965708988,-1.3850574177360813,-1.3850574177360813,-1.3850574177360813,-0.05134976023523976,-0.05134976023523976,-0.05134976023523976,-1.3337076575008415,-1.3337076575008415,-1.3337076575008415,0.0,0.0,0.0,90.8610722393538
2010-11-17,92.30651425822687,76.40151051678845,105.81199405317484,92.30651425822687,92.30651425822687,-1.4635399002943115,-1.4635399002943115,-1.4635399002943115,-0.08806876121888386,-0.08806876121888386,-0.08806876121888386,-1.3754711390754275,-1.3754711390754275,-1.3754711390754275,0.0,0.0,0.0,90.84297435793256
2010-11-18,92.36689885936393,77.59231831763911,103.83545324703404,92.36689885936393,92.36689885936393,-1.4123845845251424,-1.4123845845251424,-1.4123845845251424,0.006157461250452464,0.006157461250452464,0.006157461250452464,-1.4185420457755948,-1.4185420457755948,-1.4185420457755948,0.0,0.0,0.0,90.95451427483879
